FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=LAW4LFFM, link=1, sequence=17]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=LAX0HFBN, link=1, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=LAX0HFDM, link=1, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=LAX0HFDN, link=1, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=LAX0HFFN, link=1, sequence=9]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=LAX0HFOM, link=1, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=LAX0HFON, link=1, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=LAX4HFBN, link=1, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=LAX4HFDM, link=1, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=LAX4HFDN, link=1, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=LAX4HFFN, link=1, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=LAX4HFOM, link=1, sequence=5]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=LAX4HFON, link=1, sequence=5]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=LRX0HFER, link=1, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=LRX4HFER, link=1, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=QAA0HFEM, link=3, sequence=9]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=QAA0HFEN, link=3, sequence=9]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=QAA0HFFN, link=3, sequence=9]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=QAA0HFOM, link=3, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=QAA0HFON, link=3, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=SAW0HFEM, link=1, sequence=14]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=SAW0HFEN, link=4, sequence=17]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=SAW0HFFN, link=10, sequence=45]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=SAW0HFOM, link=1, sequence=13]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=SAW0HFON, link=2, sequence=26]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=SAX0HFEM, link=2, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=SAX0HFEN, link=2, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=SAX0HFFN, link=2, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=SAX0HFOM, link=2, sequence=5]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=SAX0HFON, link=2, sequence=5]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=UAA0HFEM, link=4, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=UAA0HFEN, link=6, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=UAA0HFFN, link=6, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=UAA0HFOM, link=4, sequence=5]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=UAA0HFON, link=5, sequence=5]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=VAA2HFEM, link=2, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=VAA2HFEN, link=2, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=VAA2HFFN, link=2, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=VAA2HFOM, link=2, sequence=5]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=VAA2HFON, link=2, sequence=5]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=WAW4LFFM, link=1, sequence=2]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=WRX0HKEM, link=1, sequence=9]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=WRX0HKEN, link=2, sequence=8]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=WRX0HKFN, link=1, sequence=24]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=WRX0HKOM, link=1, sequence=8]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=LIH  , fareClass=WRX0HKON, link=1, sequence=13]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=KAW5LFFM, link=1, sequence=17]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=KAX2LFFM, link=2, sequence=11]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=KAX5LFFM, link=2, sequence=9]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=LAW2LFFM, link=1, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=LAW4LFFM, link=2, sequence=16]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=LAX0HFBN, link=4, sequence=10]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=LAX0HFDM, link=2, sequence=11]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=LAX0HFDN, link=4, sequence=10]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=LAX0HFFN, link=3, sequence=10]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=LAX0HFOM, link=2, sequence=9]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=LAX0HFON, link=3, sequence=8]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=LAX4HFBN, link=1, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=LAX4HFDM, link=1, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=LAX4HFDN, link=1, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=LAX4HFFN, link=1, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=LAX4HFOM, link=1, sequence=5]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=LAX4HFON, link=1, sequence=5]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=LAX4LFFM, link=1, sequence=5]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=LRX0HFER, link=5, sequence=10]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=LRX4HFER, link=1, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=QAA0HFEM, link=2, sequence=9]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=QAA0HFEN, link=3, sequence=9]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=QAA0HFFN, link=3, sequence=9]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=QAA0HFOM, link=2, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=QAA0HFON, link=3, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=SAW0HFEM, link=1, sequence=16]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=SAW0HFEN, link=6, sequence=19]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=SAW0HFFN, link=4, sequence=33]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=SAW0HFOM, link=1, sequence=15]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=SAW0HFON, link=3, sequence=24]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=SAX0HFEM, link=3, sequence=11]
